index	doi	title
1	10.1016/j.ymssp.2022.110034	A multi-stable ultra-low frequency energy harvester using a nonlinear pendulum and piezoelectric transduction for self-powered sensing
2	10.1063/1.5018077	A piezoelectric energy harvester for broadband rotational excitation using buckled beam
3	10.1063/1.4869130	Piezoelectric energy harvester converting strain energy into kinetic energy for extremely low frequency operation
4	10.3390/su11205582	Design and Evaluation of Double-Stage Energy Harvesting Floor Tile
5	10.3390/mi13060863	Fully Integrated High-Performance MEMS Energy Harvester for Mechanical and Contactless Magnetic Excitation in Resonance and at Low Frequencies
6	10.1080/00150193.2013.822773	Design of a New Piezoelectric Energy Harvester Based on Secondary Impact
7	10.21595/jve.2020.21395	Design of a self-tunable, variable-length pendulum for harvesting energy from rotational motion
8	10.3390/jcs4020039	A Novel Design and Performance Results of An Electrically Tunable Piezoelectric Vibration Energy Harvester (TPVEH)
9	10.1177/10775463241261845	Design and experimentation of meandered low frequency broadband piezoelectric energy harvester with resonant tuning
10	10.1088/0964-1726/17/4/045009	Vibration energy harvesting by magnetostrictive material
11	10.1109/tcsi.2005.856043	A variable-capacitance vibration-to-electric energy harvester
12	10.3390/s140203323	A Vibration-Based MEMS Piezoelectric Energy Harvester and Power Conditioning Circuit
13	10.1016/j.sna.2013.12.033	Theoretical modeling and analysis of mechanical impact driven and frequency up-converted piezoelectric energy harvester for low-frequency and wide-bandwidth operation
14	10.1063/1.4887481	Rotational piezoelectric wind energy harvesting using impact-induced resonance
15	10.1088/0964-1726/25/8/085029	Design and characterisation of a piezoelectric knee-joint energy harvester with frequency up-conversion through magnetic plucking
16	10.1016/j.enconman.2021.113980	Development of a novel non-contact piezoelectric wind energy harvester excited by vortex-induced vibration
17	10.1088/0964-1726/20/2/025015	The realization and performance of vibration energy harvesting MEMS devices based on an epitaxial piezoelectric thin film
18	10.1088/0964-1726/20/12/125011	Bi-stable frequency up-conversion piezoelectric energy harvester driven by non-contact magnetic repulsion
19	10.1088/0964-1726/24/2/025028	Theoretical and experimental investigation of a nonlinear compressive-mode energy harvester with high power output under weak excitations
20	10.3390/app5041942	A Novel Piezoelectric Energy Harvester Using the Macro Fiber Composite Cantilever with a Bicylinder in Water
21	10.1088/0960-1317/21/8/085037	Corrugated aluminum nitride energy harvesters for high energy conversion effectiveness
22	10.1088/1361-665x/aa6e92	Low-frequency, broadband vibration energy harvester using coupled oscillators and frequency up-conversion by mechanical stoppers
23	10.1038/srep38798	A piezoelectric micro generator worked at low frequency and high acceleration based on PZT and phosphor bronze bonding
24	10.3390/mi8040115	Helical Piezoelectric Energy Harvester and Its Application to Energy Harvesting Garments
25	10.1016/j.sna.2020.112458	Modeling and design of V-shaped piezoelectric vibration energy harvester with stopper for low-frequency broadband and shock excitation
26	10.1063/1.3551725	Freestanding piezoelectric rings for high efficiency energy harvesting at low frequency
27	10.1063/1.3406253	Vibration energy harvesting using highly (001)-oriented Pb(Zr,Ti)O3 thin film
28	10.1088/1361-665x/aa7ad6	Design and kinetic analysis of piezoelectric energy harvesters with self-adjusting resonant frequency
29	10.3390/mi8100293	Development of a Cantilever-Type Electrostatic Energy Harvester and Its Charging Characteristics on a Highway Viaduct
30	10.1016/j.sna.2019.06.034	A packaged piezoelectric vibration energy harvester with high power and broadband characteristics
31	10.1088/0960-1317/23/12/125009	A micromachined low-frequency piezoelectric harvester for vibration and wind energy scavenging
32	10.31438/trf.hh2004.41	PIEZOELECTRIC MICRO POWER GENERATOR FOR ENERGY HARVESTING
33	10.3938/jkps.76.251	Propeller-based Underwater Piezoelectric Energy Harvesting System for an Autonomous IoT Sensor System
34	10.1016/j.proeng.2015.08.695	Fabrication, Simulation and Characterisation of MEMS Piezoelectric Vibration Energy Harvester for Low Frequency
35	10.1007/s10483-019-2542-5	Low-frequency and broadband vibration energy harvester driven by mechanical impact based on layer-separated piezoelectric beam
36	10.1109/jsen.2022.3185426	Tunable Piezoelectric Vibration Energy Harvester With Supercapacitors for WSN in an Industrial Environment
37	10.1063/1.4962979	A utility piezoelectric energy harvester with low frequency and high-output voltage: Theoretical model, experimental verification and energy storage
38	10.1063/1.4917214	Enhanced performance of magnetoelectric energy harvester based on compound magnetic coupling effect
39		Vibration Energy Harvesting by Magnetostrictive Material for Powering Wireless Sensors
40	10.1063/5.0022881	An ultralow frequency, low intensity, and multidirectional piezoelectric vibration energy harvester using liquid as energy-capturing medium
41	10.1088/1361-665x/ad3bfe	Numerical and experimental investigation of an auxetic piezoelectric energy harvester with frequency self-tuning capability
42	10.1088/0960-1317/24/12/125011	Investigation of folded spring structures for vibration-based piezoelectric energy harvesting
43	10.1016/j.egyr.2022.09.005	A piezoelectric energy harvester based on multi-cantilevers and magnetic force
44	10.1109/access.2022.3215541	Contact and Non-Contact Dual-Piezoelectric Energy Harvesting System Driven by Cantilever Vibration
45	10.3390/en13010223	Harvesting Energy from Planetary Gear Using Piezoelectric Material
46	10.1016/j.sna.2018.10.043	Resonant frequency self-tunable piezoelectric cantilevers for energy harvesting and disturbing torque absorbing
